gene,logFC,QValue,KO_condition
LGALS13,-4.36868973386183,3.13020457007706e-18,KCTD5
KLHDC7B,-3.99999429472671,6.66351422276025e-51,KCTD5
FCGR1B,-3.54378362814421,3.51428604283111e-24,KCTD5
HKDC1,-3.5103835162166,1.23982033226444e-13,KCTD5
C1orf158,-3.15997191731404,3.52948712392794e-12,KCTD5
STK32B,-3.09603995648151,3.3624557264396e-11,KCTD5
OLAH,-3.09458996008197,4.03269324094789e-18,KCTD5
SLFN5,-3.02431357507103,8.54123860442889e-15,KCTD5
FCGR1A,-2.97564365285582,4.94806826620161e-12,KCTD5
GGT5,-2.93917972686326,3.834067930287e-12,KCTD5
HNF4A,-2.84670754396622,2.93159003621964e-11,KCTD5
P2RY8,-2.82227499958424,5.4147906999975e-14,KCTD5
CES5A,-2.72652929997504,2.33126492018133e-10,KCTD5
MFAP3L,-2.69491453360468,1.19857165246505e-08,KCTD5
LY96,-2.54170503684583,9.65376133443055e-09,KCTD5
RHBDL2,-2.53249581474572,2.3040290986626e-08,KCTD5
OSCAR,-2.47648735923376,9.96475519085332e-14,KCTD5
NLRP11,-2.4740844694275,4.84997271993356e-07,KCTD5
B3GALNT1,-2.43924368692808,1.5414940470418e-07,KCTD5
RASGRF1,-2.40074143069289,1.5724563100264e-07,KCTD5
ADGRE1,-2.37283628935501,5.88624947943057e-08,KCTD5
SERPINB8,-2.30943427706858,3.43003704688649e-07,KCTD5
PAG1,-2.20212408942368,2.9485197845324e-11,KCTD5
JAKMIP3,-2.19166347609263,5.69346593498923e-09,KCTD5
GNAO1,-2.17654667360982,4.92569620849822e-10,KCTD5
PCNX2,-2.17053213840066,1.3892356055385e-06,KCTD5
ACSM2B,-2.16800548445022,3.50736892842429e-07,KCTD5
ARHGAP20,-2.1533551778975,3.59090036263512e-06,KCTD5
ACP5,-2.13349114067253,2.40639330927944e-12,KCTD5
NCF4,-2.13223670914476,1.44226011747951e-06,KCTD5
HECW2,-2.117061823639,1.09618413617603e-16,KCTD5
KLHL4,-2.08797543290503,1.0480621777154e-08,KCTD5
DYNC1I1,-2.06813771461143,1.22380378007682e-05,KCTD5
PNPLA1,-2.00471873079028,2.5119926177824e-06,KCTD5
IFI16,-2.00455825233331,1.17971233248469e-12,KCTD5
COL6A2,-2.00436792349369,8.83634225439638e-13,KCTD5
QRICH2,-2.00033295361152,1.3564833044096e-12,KCTD5
LRGUK,-1.99395453294962,5.17301129490705e-06,KCTD5
NUPR1,-1.97300174427367,5.46845254479129e-14,KCTD5
FLACC1,-1.96048997947703,1.02712362714309e-05,KCTD5
SPX,-1.93599866148902,6.89467636881682e-08,KCTD5
CUBN,-1.93361641476353,7.635700449603e-08,KCTD5
ITGB2,-1.93035251982802,4.31474296616685e-06,KCTD5
STK32A,-1.92703232271615,4.15274712461635e-05,KCTD5
FAM47E,-1.92395178364863,7.35762712374155e-07,KCTD5
TMEM169,-1.91444243536656,5.48858930630507e-06,KCTD5
RERG,-1.91204661483123,3.29806513342066e-07,KCTD5
PROX2,-1.90618375683862,2.27717837271798e-05,KCTD5
NBEA,-1.89066943055896,3.65155699396637e-05,KCTD5
MYO10,-1.86687225949906,7.08956959239108e-05,KCTD5
FAM71F2,-1.864158445935,6.7061437050637e-05,KCTD5
ROPN1L,-1.84504972429757,7.3102375218536e-05,KCTD5
MEGF6,-1.84322253512477,3.37722070027231e-14,KCTD5
GJA9,-1.8312715669215,1.32970792111925e-05,KCTD5
MILR1,-1.83117912025373,1.26713530302305e-10,KCTD5
PCDHGA11,-1.82860726108878,2.93119851069725e-05,KCTD5
SERPINC1,-1.80433648340121,3.78369962091118e-09,KCTD5
PCDHGA12,-1.80278673045438,4.73255881477531e-05,KCTD5
FMO4,-1.79885838420425,0.000108624381158051,KCTD5
SLFN13,-1.78909083329493,2.98743295429556e-05,KCTD5
SIPA1L2,-1.7846866017668,2.71286464434196e-06,KCTD5
MCEMP1,-1.78213997579769,3.84118989659056e-05,KCTD5
GPR132,-1.77918823574928,8.69949000961569e-07,KCTD5
PCDHGC5,-1.77862985666483,6.83234126516585e-05,KCTD5
TSHR,-1.76419017510963,0.000116956343915654,KCTD5
CPNE5,-1.76399409919539,9.37977696417791e-08,KCTD5
PCDHGB7,-1.75337218848843,7.13383759152815e-05,KCTD5
ACVRL1,-1.75312676836542,6.00755716394711e-08,KCTD5
CALCA,-1.74757131483894,0.000571181353708944,KCTD5
SPAG6,-1.74461233179211,9.62024440339157e-10,KCTD5
AMIGO2,-1.73979054803188,2.02572779089613e-11,KCTD5
PCDHGC4,-1.73864488340468,0.000102019444293954,KCTD5
IQCF3,-1.73307683845949,0.000178848929981698,KCTD5
MINAR1,-1.7194886452811,8.56469187643094e-06,KCTD5
ZNF331,-1.70665753889543,2.93270263950684e-07,KCTD5
ASB15,-1.698933391397,8.61860469832339e-05,KCTD5
CNIH3,-1.69357170481856,8.44412271716004e-06,KCTD5
P2RX7,-1.67662252867674,1.30659448466169e-09,KCTD5
CFAP74,-1.66936470979293,0.000125707674173327,KCTD5
SOSTDC1,-1.64488732023436,1.01350181854993e-10,KCTD5
PCDHGA10,-1.63855033148806,0.000153855317715626,KCTD5
GDAP1L1,-1.63820095802893,0.000156990989476534,KCTD5
PCDHGA1,-1.63228494732745,0.000179299657318341,KCTD5
TPH1,-1.6093409907157,0.000555685750394413,KCTD5
PCDHGC3,-1.59861305951291,0.000327682319021161,KCTD5
SPINK5,-1.59651137978215,0.000129215675488529,KCTD5
ARSD,-1.59210544837244,1.40715177523436e-05,KCTD5
PRH2,-1.59090254693554,0.000601506279508395,KCTD5
TNFRSF8,-1.58110688256302,1.00273856445945e-10,KCTD5
LRP2,-1.57363464682167,0.000193318455386306,KCTD5
MYO1G,-1.57134705664578,0.000493341618845137,KCTD5
TMEM108,-1.56918437051567,7.90943752304904e-05,KCTD5
PCDHGA8,-1.56735901967268,0.00015866408411166,KCTD5
SLC30A8,-1.56683214890275,0.000379816628666477,KCTD5
CLGN,-1.56433716178978,1.97955909180974e-08,KCTD5
GRM3,-1.56294017828801,0.00072891824410117,KCTD5
TAFA2,-1.55008425970357,2.94493804301982e-09,KCTD5
TMEM273,-1.54806337839512,1.69137438858593e-10,KCTD5
ZNF606,-1.53851965452613,0.000377803948361703,KCTD5
PCDHGA3,-1.53603551157323,0.000300013886971845,KCTD5
SPARCL1,-1.53588374452016,0.00125075870707417,KCTD5
IMPG2,-1.53204180447361,6.5266328666374e-05,KCTD5
TUBA8,-1.52871328596113,0.000739548371982365,KCTD5
MAML3,-1.52066877423261,0.000105663924318963,KCTD5
PCDH12,-1.51937714538105,0.000233111838385629,KCTD5
SLC38A4,-1.51589888398704,0.000230840602542062,KCTD5
ESRP1,-1.51379974553277,0.00158437028067222,KCTD5
C4orf45,-1.51246435889305,0.000497178109403492,KCTD5
PCDHGB6,-1.49930712699789,0.000509995668342935,KCTD5
PCDHGB4,-1.49274027084759,0.000456904024432777,KCTD5
SSH3,-1.49121281779462,0.000972619283538488,KCTD5
FGL2,-1.49060323975657,0.00142029034949273,KCTD5
IL1R1,-1.47949270980694,6.27803038789072e-06,KCTD5
RCAN3,-1.47737529936342,0.000417845208560067,KCTD5
CD80,-1.47602141296176,2.53167280803171e-08,KCTD5
THRSP,-1.45604551443149,0.00143924873174615,KCTD5
PCED1B,-1.45572102258339,6.48733225839931e-08,KCTD5
PCDHGA7,-1.45525816193446,0.000596881159110893,KCTD5
CARD14,-1.45453867315913,8.12814998932751e-05,KCTD5
GPR83,-1.44852196640414,0.00171693045829872,KCTD5
PCDHGA9,-1.44201311403124,0.000953183298625929,KCTD5
ESR2,-1.44000783020935,4.21517843557534e-06,KCTD5
RASGRF2,-1.43344344228713,0.00191729158767314,KCTD5
BCL2,-1.43326494814718,0.000156930735035163,KCTD5
GRIK5,-1.42790828837347,0.000581105967173403,KCTD5
PLAU,-1.42367024468358,3.31823529169391e-08,KCTD5
HRK,-1.42142656253175,0.0060390912047163,KCTD5
ABCB4,-1.42047712018882,0.00140468897267511,KCTD5
RNF224,-1.42021116951355,0.00167534132805457,KCTD5
COL4A3,-1.41727484515206,0.00187683128149596,KCTD5
ZAP70,-1.40799947645149,0.0015193392750684,KCTD5
WNK2,-1.4077386241191,2.8880727713171e-05,KCTD5
PRSS37,-1.40624782752992,0.00234060121632715,KCTD5
PLXNA2,-1.40446671921158,0.000271922874027865,KCTD5
SDK2,-1.4022373144903,0.00395242912579084,KCTD5
MARCKS,-1.4020170265977,1.17168447917784e-07,KCTD5
PCDHGB5,-1.39952471433751,0.00143212616986564,KCTD5
PLCH2,-1.39949533919913,0.00396246506964235,KCTD5
SLC6A13,-1.39888212397295,0.00168128748732727,KCTD5
DENND1C,-1.39407565636814,0.0010951959715696,KCTD5
SIM2,-1.39248988134636,0.00157797138084649,KCTD5
CLEC2D,-1.38456090145627,3.44147106908314e-07,KCTD5
CSTA,-1.3842883032851,0.000400895202411447,KCTD5
COL6A3,-1.37881249412341,3.09538702517458e-08,KCTD5
RUNX2,-1.36892019174459,2.61744977114317e-07,KCTD5
VENTX,-1.36535250204393,0.00199243684331586,KCTD5
CCDC144A,-1.36170504674763,7.57109781323976e-07,KCTD5
KLF15,-1.36060915783978,0.00105479074381022,KCTD5
SCN3A,-1.35838350078546,0.00256451337530282,KCTD5
FAM47E-STBD1,-1.3564315555827,0.000858617247350461,KCTD5
TREML2,-1.35124798794438,4.47863867316634e-06,KCTD5
FBXL22,-1.34819877543505,0.0037713329933734,KCTD5
GPX3,-1.34680789554386,0.00050794757125535,KCTD5
WFS1,-1.34523261078626,0.00441868001718431,KCTD5
LRRC25,-1.34146729719201,0.00348485599314354,KCTD5
APOL1,-1.33658205020612,6.28503134330501e-07,KCTD5
NQO1,-1.33396458118074,1.82015248705752e-07,KCTD5
SPRR2D,-1.33100015914815,1.6607748349097e-07,KCTD5
RYR3,-1.33097404776053,0.00544412290150847,KCTD5
CHST3,-1.32895128843334,0.000120734401011139,KCTD5
NHSL1,-1.32691647845072,0.00434668522759048,KCTD5
OR2AG1,-1.32029937884018,0.00144174341330658,KCTD5
TRAK2,-1.31887210543446,6.00755716394711e-08,KCTD5
MYO1F,-1.31774418688164,1.45259463253793e-07,KCTD5
MLANA,-1.31178800458968,0.00248227765051338,KCTD5
CAPN3,-1.30637635710154,0.00359979601402841,KCTD5
ABCC9,-1.30050485055735,0.0059300766416286,KCTD5
CD101,-1.29804467873337,0.00508414343867333,KCTD5
ACSL5,-1.29515175783422,0.00277024694073043,KCTD5
FGF17,-1.29387764078776,0.00666021203069593,KCTD5
OGN,-1.28759964625388,0.000327176046262782,KCTD5
SPOCK2,-1.27775786773331,0.00357440210576464,KCTD5
FAAH,-1.27708910331771,0.00245956632001121,KCTD5
APBB2,-1.2740943576768,0.000210396601128921,KCTD5
CFI,-1.26689582564273,0.00279789574315034,KCTD5
ADH6,-1.26586132533722,0.0065889257920707,KCTD5
CFP,-1.26473652308061,0.00281947467189311,KCTD5
TAS2R13,-1.2626550106889,0.00693633636063175,KCTD5
ARL11,-1.25655047767235,0.0049392093009566,KCTD5
KATNAL2,-1.25122443277426,0.00427864149302964,KCTD5
ZNF594,-1.24837680905708,0.000449947872855444,KCTD5
RUBCNL,-1.24506661468552,0.00640772433558515,KCTD5
PRR4,-1.2409391129231,0.0059300766416286,KCTD5
TAMALIN,-1.2403250310814,0.00315847960919523,KCTD5
PAGE1,-1.23732934790263,0.00474090816074187,KCTD5
ANKRD33,-1.23693746973914,0.000632719458256933,KCTD5
LHX3,-1.2322606832398,0.00520201021719297,KCTD5
CCDC148,-1.23028623623498,0.00648234967474489,KCTD5
DAAM2,-1.23007475500947,0.00107328924658705,KCTD5
TLR7,-1.22974207446981,0.00166984616073089,KCTD5
NCOA5,-1.22720314969833,4.33619595324266e-06,KCTD5
