gene,L1_Krishnan_scRNAseq,L2_Awad_CRISPR_KO,L3_Krishnan_ML,L4_Sacco_RNAseq,L5_Sacco_Phospho,evidence_count
JUN,1,1,0,1,1,4
GMNN,1,0,0,1,1,3
PGAM1,1,1,0,0,1,3
PER1,1,1,0,1,0,3
MYC,1,1,0,0,1,3
PNRC1,1,1,0,1,0,3
CLSPN,1,1,0,0,1,3
PCNA,1,0,0,1,1,3
INSIG1,1,1,1,0,0,3
MCM5,1,1,0,1,0,3
HMGCS1,1,1,0,1,0,3
FDPS,1,1,0,1,0,3
ITGB2,1,1,0,0,1,3
EGR1,1,1,0,1,0,3
KIF20A,0,1,0,1,0,2
TNFRSF4,1,0,0,1,0,2
KLC4,0,1,0,1,0,2
TNFAIP3,1,0,0,1,0,2
DAPP1,0,1,0,0,1,2
KLF2,1,0,0,1,0,2
TRIOBP,0,0,0,1,1,2
BHLHE40,1,0,0,1,0,2
NUSAP1,1,0,0,1,0,2
TMPO,0,0,1,1,0,2
TSC22D3,1,0,0,1,0,2
NXN,0,1,0,1,0,2
CYP51A1,0,1,0,1,0,2
SLC29A1,1,0,0,1,0,2
SLC2A1,0,1,0,1,0,2
GP1BB,0,1,0,0,1,2
CYLD,0,0,0,1,1,2
TRADD,0,0,0,1,1,2
TPX2,0,0,0,1,1,2
BTG2,1,0,0,1,0,2
BUB1,0,1,0,1,0,2
GPHN,0,0,0,1,1,2
TPD52,0,1,0,0,1,2
GPR132,0,1,0,1,0,2
TOP2A,0,0,0,1,1,2
P2RX1,0,1,0,1,0,2
CTTN,0,0,0,1,1,2
BOLA3,0,1,0,1,0,2
DHFR,1,0,0,1,0,2
RAB13,1,0,0,1,0,2
LEPROT,1,0,0,1,0,2
ATP5MC1,1,1,0,0,0,2
UBE2T,0,1,0,1,0,2
GATA2,1,0,0,0,1,2
ATF7IP2,1,0,0,1,0,2
ATF3,1,1,0,0,0,2
NUCKS1,1,0,0,1,0,2
GAS2,1,0,1,0,0,2
RACGAP1,0,0,0,1,1,2
ASF1B,1,0,0,1,0,2
RAD23A,1,0,0,0,1,2
