gene,p_val,avg_log2FC,pct1,pct2,p_val_adj,Class,gene_clean
HSPA6,0,2.70896443579351,0.405,0.003,0.0,C,HSPA6
PRSS21.3,6.9949884907481e-234,0.992390542597834,0.687,49,1.50065069140705e-242,C,PRSS21
LGALS1.3,9.51346215612447e-200,1.52865587384528,0.926,0.414,2.30282864951149e-195,C,LGALS1
RPS27.2,3.07885372466518e-191,-0.758856056934937,1,1,7.45267332592452e-187,C,RPS27
FTH1.2,4.45784661807475e-184,-1.31559053615004,1,1,1.07906635237117e-179,C,FTH1
MT-ND3.2,8.85271969699362e-171,-0.878325051819665,1,1,2.4288932985428e-153,C,MT-ND3
CD33.2,2.36220251596171e-152,0.750791698385574,0.819,0.35,5.71794741013691e-148,C,CD33
ANXA2.2,5.85068135903078e-150,0.812385318747238,0.769,0.297,1.41621592976699e-145,C,ANXA2
RPL34.3,6.27630324819596e-147,-0.662237316176484,1,1,1.51924196425832e-142,C,RPL34
RPL39.3,2.3627376738215e-143,-0.691301637369909,1,1,5.71924281325232e-139,C,RPL39
RPL8,1.8487664097055e-141,0.330783306673253,1,1,4.47512397133314e-137,C,RPL8
PLP2.2,3.88912699353578e-134,0.844105734485977,0.968,0.714,9.41402080055271e-130,C,PLP2
CD48,2.77250919554972e-132,0.537402929585896,0.548,58,6.71113575874765e-128,C,CD48
TRGC1,1.42576895645492e-131,0.370014983211764,0.312,0.05,3.45121633599479e-127,C,TRGC1
RPL35A.2,1.7870228357295e-113,-0.497615813987526,1,1,2.85316674761669e-122,C,RPL35A
PDLIM1.3,4.96504581139445e-126,0.739933402067605,0.894,0.488,1.20183898910614e-121,C,PDLIM1
RPL37.2,6.51662143906977e-123,-0.570812151670681,1,1,1.57741338554123e-118,C,RPL37
CRHBP.2,6.66020603209086e-120,-1.38329315971822,0.084,0.606,1.61216947212791e-115,C,CRHBP
RPS29.2,5.94082669871605e-119,-0.684927286044483,0.982,0.994,1.43803651069121e-114,C,RPS29
IL1RAP,5.2371389315848e-114,0.469651459934262,0.477,33,1.26770184977942e-109,C,IL1RAP
LY6E.3,5.92570278590948e-113,0.729942263833413,0.977,0.877,1.43437561635725e-108,C,LY6E
CD38,2.49555142936468e-112,0.87056234477714,0.765,0.394,6.04073178992015e-108,C,CD38
SELL.3,3.77569430147382e-125,-10806429416375.0,0.819,0.923,9.3944562614752e-108,C,SELL
H3F3B.2,2.59618984677042e-111,-0.981172208799285,0.997,1,6.28433714309247e-107,C,H3F3B
RPL37A.2,1.26698877835174e-110,-0.566173588380615,1,1,3.06687303687823e-106,C,RPL37A
CCL3L1,9.92056210596393e-107,0.42237584581038,69,0.016,2.40137126336963e-102,C,CCL3L1
SMYD3,1.4855689713115e-105,0.80670535719423,0.802,0.447,3.59596825195662e-101,C,SMYD3
RPLP0,3.40446493060355e-105,0.264803226325614,1,1,8.24084781101895e-101,C,RPLP0
OAZ1,1.61319465981886e-103,0.506187540301317,0.998,0.995,3.90489899355752e-99,C,OAZ1
ARPC2,4.7675489530676e-88,0.579669452044274,0.997,0.981,1.01102528995795e-96,C,ARPC2
ADM,1.05886589412582e-100,0.330628844061866,71,0.018,2.56309078332095e-96,C,ADM
CORO1A,2.47107823041593e-99,0.670163054061052,0.982,0.829,5.98149196454479e-95,C,CORO1A
ADGRG5,6.49417340134606e-99,0.383348444774145,0.508,59,1.57197961352983e-94,C,ADGRG5
CLEC12A,9.3563519392858e-86,0.414034668625893,0.374,0.094,2.21137185504235e-94,C,CLEC12A
IDH1,1.6732256346664e-85,0.593195462532282,0.638,0.267,2.82562099712734e-94,C,IDH1
