gene_name,significant,difference,logpval
RAB4B,+,0.63318133354187,1.61657467707973
IL32,+,1.19440186023712,1.51609580809842
OTUD1,+,0.441287875175476,1.34313940721334
ADGRG5,+,-0.62870979309082,1.40156600666605
GPR114,+,-0.62870979309082,1.40156600666605
WASH4P,+,1.09609472751617,3.04381748586789
PHYKPL,+,0.389485836029053,1.90937604887686
UNC79,+,0.667779862880707,1.72284529619555
DDX60L,+,0.380523443222046,1.39340402740772
JAKMIP3,+,0.829752683639526,1.89148951945058
GALC,+,0.449385643005371,1.66258935439354
MERTK,+,0.957906126976013,1.74358657448663
SIDT2,+,0.600860118865967,1.395829492382
CAPN3,+,0.731820702552795,1.7681067640329
TBX19,+,0.694043397903442,2.36974496338418
FMO4,+,0.743919014930725,2.80794514966345
ABCA1,+,3.42230260372162,3.52007518088924
PRG4,+,1.20480632781982,1.92060448224815
GPR35,+,1.14436089992523,2.23170061871813
C17orf51,+,1.28296428918839,1.5935518657767
MIB2,+,0.555847406387329,1.98275302582423
GCSH,+,-0.372323989868164,1.88541792375363
NCAPH,+,-0.430713176727295,2.07169482955166
VWA5A,+,0.874300479888916,1.37242333709752
ZNF425,+,0.669221162796021,1.7815243759894
BTBD8,+,0.718314051628113,1.84336082120585
ITGB3BP,+,-0.352673768997192,2.22044687387219
SLA,+,1.00273180007935,1.56174363965186
TMPRSS9,+,0.746124863624573,2.35516095115902
TRMT44,+,0.306010246276855,1.88295161836192
AKAP17A,+,0.375289678573608,1.76674943477735
NCAPG,+,-0.430018901824951,1.74526383561634
ANKRD42,+,0.402106642723083,2.40508272221451
BMP8A,+,0.468207478523254,2.14970175448745
DKFZp686N1252,+,0.287128686904907,1.3580455961118
TSC2,+,0.287128686904907,1.3580455961118
ACAD8,+,0.372233867645264,1.33674994294535
NEK2,+,-0.468355894088745,2.48698374322677
CASP4,+,0.277737140655518,1.3869647883603
PHGDH,+,-0.57107949256897,1.59596115053341
HIST1H3A,+,-0.946158707141876,1.51709488196001
PLEKHM3,+,0.422452688217163,1.75940415533533
ZNF862,+,0.856690883636475,3.35360885513723
FMO5,+,0.453213691711426,1.36474617487678
CHRNA5,+,-0.65567684173584,2.04242892200446
SHC4,+,-1.410964012146,2.09032886698347
APRG1,+,0.861894130706787,1.5110539538114
HSF4,+,0.804230928421021,2.9849667352536
ZCCHC8,+,-0.535954475402832,2.31824318141018
CLIP3,+,2.29769694805145,2.00470896484094
IFITM1,+,-0.818379163742065,1.49918228395385
DLGAP5,+,-0.548556566238403,2.26110176452561
HIST2H2BE,+,1.16108083724976,2.80987009546833
GAD1,+,1.18017423152924,2.02038984964198
TRNT1,+,-0.337867736816406,1.34497658710552
RACGAP1,+,-0.492115259170532,2.38726823407789
DNLZ,+,-0.831587791442871,1.73095762514164
CPEB2,+,0.920910358428955,1.31568124728999
CD200,+,1.00039625167847,1.74734312446602
RAB33B,+,0.242613554000854,1.36695624077717
P2RX4,+,0.254955291748047,3.4586135217314
RHBDF1,+,1.39923369884491,1.71852591399208
RPS6KA2,+,1.15167772769928,1.31594002111473
SNRPA1,+,-0.215711116790771,1.30456749305263
ERV3-1,+,0.44482946395874,1.37414496425791
ZBTB48,+,0.319428443908691,1.54190459615638
ACSS2,+,-0.433146238327026,1.65098033598079
SATB1,+,0.324946641921997,1.4076255260491
KDM3A,+,0.340057373046875,1.46372580262291
SNRPE,+,-0.415764570236206,1.77532881146142
DLEU1,+,-0.448485136032104,1.57223936344392
RPL37,+,0.533087730407715,2.9998423231289
FAM179A,+,1.61550176143646,1.80066630808687
GBP2,+,1.8902690410614,2.81418964279939
TOP2A,+,-0.515255451202393,2.50125125007243
CRYBB1,+,-0.899961650371552,2.00369163502729
DPEP2,+,0.759456872940063,1.5299410392964
SPPL2B,+,0.443772554397583,2.2760214780075
POLI,+,0.444043636322021,1.91975145805719
DEPDC1,+,-0.439334630966187,1.96008149983166
KIAA1683,+,0.685064792633057,1.5391578698285
HIVEP2,+,0.530143260955811,1.59948321720937
DENND5A,+,0.340747117996216,1.35551112455462
ACRC,+,0.489877820014954,1.46402679312244
ZNF394,+,0.285706281661987,1.46255289465024
BRCA1,+,-0.501331806182861,1.34962784800962
CHEK1,+,-0.409308671951294,1.88048784488568
C1QL3,+,1.89256775379181,1.30737654623068
MARCH3,+,0.427633762359619,1.34125450494958
FAM72A,+,-0.552668213844299,1.45162809584498
ELF2,+,0.542522668838501,1.31399304257784
TNK2,+,0.249580383300781,1.58104890326893
ZER1,+,0.733992576599121,2.46202217105907
GAB2,+,0.220804452896118,1.33068732872994
SQSTM1,+,0.336838722229004,1.65827183945214
TRIM22,+,0.409462690353394,1.75615528615695
USF1,+,0.319140434265137,1.5259883904113
TMEM259,+,0.549978971481323,1.38438812888571
NEURL2,+,0.708957433700562,2.24064399673143
AURKA,+,-0.261419296264648,1.32573565704547
GGT5,+,-0.754713654518127,1.58284227706751
RPL13,+,0.234055757522583,1.31743512745635
POLG2,+,0.339553833007813,2.35427188193651
TTLL3,+,0.594656944274902,2.13905438247099
MCTP2,+,1.12126660346985,1.33311488225355
WDR19,+,0.607552766799927,1.75571971251373
TRIM73,+,1.38481628894806,2.4631713557023
FAM229A,+,0.577813982963562,1.37709674457637
CAPN10,+,0.179423093795776,1.64935732913646
CENPF,+,-0.449875831604004,2.08122741690896
IGLV2-18,+,-1.17045593261719,1.81165292131792
ADCY4,+,0.895894885063171,1.95365792383358
RIPK3,+,0.363463997840881,1.87054183799518
POLA2,+,-0.330007076263428,1.48600006800306
CDKN1A,+,1.23498845100403,3.59485148487094
C12orf76,+,0.74460506439209,2.20525995387628
PDLIM5,+,0.95225191116333,1.30577296927728
TTC21A,+,0.859784841537476,1.68508267403746
RSU1,+,-0.229763269424438,1.57275954767014
MVK,+,-0.540447473526001,1.53911060352851
MRPS35,+,-0.43065333366394,1.71175709392171
INPP5A,+,0.176016569137573,1.74346883446917
CD300LB,+,-0.721378684043884,1.35513066961754
PLIN2,+,0.862808465957642,2.28544264779608
PPWD1,+,0.279060125350952,1.67849701980244
GABARAP,+,0.600582838058472,1.45700744399946
TIPARP,+,0.49292778968811,2.08897485029426
CRTC2,+,0.30282735824585,1.39628546240222
CYP2D7,+,0.422375321388245,1.37189275578512
GCSAML,+,0.734048366546631,1.78373844965379
