gene_name,carnival_activity,UNIPROT,final_score,method,discordant,mf
ABL2,-100.0,P42684,-2.61097,PhosphoScore,False,kin
ACADM,-100.0,P11310,-1.59405,proteoscore,False,other
ACD,-100.0,Q96AP0,-1.86572,proteoscore,False,other
ACLY,-100.0,P53396,-0.795473,proteoscore,False,other
ACSS2,-100.0,Q9NR19,-0.430412,proteoscore,False,other
ACTB,100.0,P60709,3.63132,proteoscore,False,other
ACTN4,-100.0,O43707,-1.83609,proteoscore,False,tf
ADAM17,100.0,P78536,0.46044,proteoscore,False,other
ADD1,-100.0,P35611,-0.318097,proteoscore,False,other
AHNAK,-100.0,Q09666,-7.20844,proteoscore,False,other
AKAP13,100.0,Q12802,3.17988,proteoscore,False,other
AKAP9,100.0,Q99996,1.97611,proteoscore,False,other
AKT1,-100.0,P31749,1.6521,PhosphoScore,True,kin
ALDH1A1,-100.0,P00352,-5.69699,proteoscore,False,other
ALDH1A2,-100.0,O94788,-6.66767,proteoscore,False,other
ALL_TRANS_RETINOIC_ACID,-100.0,CHEBI:15367,,CARNIVAL,False,tf
AMFR,100.0,Q9UKV5,0.381895,proteoscore,False,other
ANAPC1,-100.0,Q9H1A4,-3.87717,PhosphoScore,False,other
ANGPT1,100.0,Q15389,3.11721,proteoscore,False,other
ANP32A,-100.0,P39687,-6.78101,proteoscore,False,other
ANXA1,-100.0,P04083,-3.80339,proteoscore,False,other
AP2M1,-100.0,Q96CW1,-1.79247,PhosphoScore,False,other
APAF1,100.0,O14727,1.40506,proteoscore,False,other
APC,100.0,P25054,0.64621,proteoscore,False,other
APC_C,-100.0,SIGNOR-C150,,CARNIVAL,False,complex
APLP2,-100.0,Q06481,-1.69698,proteoscore,False,other
AP_2_COMPLEX,-100.0,SIGNOR-C245,,CARNIVAL,False,complex
ARAF,-100.0,P10398,-1.7108795,PhosphoScore,False,kin
ARHGAP26,100.0,Q9UNA1,2.28346,proteoscore,False,other
ARHGAP35,-100.0,Q9NRY4,-2.65068,PhosphoScore,False,other
ARHGDIA,100.0,P52565,0.542638,proteoscore,False,other
ARHGEF12,-100.0,Q9NZN5,-0.653377,proteoscore,False,other
ARHGEF2,-100.0,Q92974-2;Q92974,-2.927198333333333,PhosphoScore,False,other
ARHGEF6,100.0,Q15052,0.973743,PhosphoScore,False,other
ARID3A,-100.0,Q99856,-2.56386,proteoscore,False,tf
ARMC10,-100.0,Q8N2F6,-3.66678,proteoscore,False,other
ARNT,-100.0,P27540,-0.710946,proteoscore,False,tf
ARPC1B,100.0,O15143,1.08157,proteoscore,False,other
ARRB1,-100.0,P49407,-1.18197,proteoscore,False,tf
ARRB2,100.0,P32121,2.98613,proteoscore,False,other
ASNS,-100.0,P08243,-0.688414,proteoscore,False,other
ATF2,-100.0,P15336,-2.277275,PhosphoScore,False,tf
ATG9A,-100.0,Q7Z3C6,-0.923347,proteoscore,False,other
ATM,100.0,Q13315,,CARNIVAL,False,kin
ATP1A1,100.0,P05023,0.379567,proteoscore,False,other
ATP7B,-100.0,P35670,-1.65081,proteoscore,False,other
ATR,-100.0,Q13535,-2.27395,PhosphoScore,False,kin
AURKA,-100.0,O14965,0.04772269151138905,VIPER,True,kin
AURKB,100.0,Q96GD4,0.07798972387358723,VIPER,False,kin
AXIN1,100.0,O15169,,CARNIVAL,False,other
BAG3,-100.0,O95817,-2.26373,proteoscore,False,other
BAIAP2,-100.0,Q9UQB8,-1.65609,proteoscore,False,other
BAK1,100.0,Q16611,2.05648,proteoscore,False,other
BAZ1B,-100.0,Q9UIG0,-4.58124,PhosphoScore,False,kin
BCAR1,-100.0,P56945,-1.95466,proteoscore,False,other
BCL10,-100.0,O95999,-1.636895,PhosphoScore,False,tf
BCL2,100.0,P10415,5.31703,proteoscore,False,other
BCL2L1,-100.0,Q07817,-0.695387,proteoscore,False,other
BCR,-100.0,P11274,-4.95175,proteoscore,False,kin
BCR_ABL,-100.0,SIGNOR-FP6,-1.0,user,False,rec
BECN1,-100.0,Q14457,0.695685,proteoscore,True,other
BID,-100.0,P55957,-5.96235,proteoscore,False,other
BIRC2,-100.0,Q13490,-1.50377,proteoscore,False,tf
BLM,-100.0,P54132,-1.68648,proteoscore,False,other
BLVRA,-100.0,P53004,-1.53477,proteoscore,False,other
BMPR1A,-100.0,P36894,-0.3137310940312927,VIPER,False,kin
BRAF,-100.0,P15056,-1.31128,PhosphoScore,False,kin
BRD2,-100.0,P25440,0.233895,proteoscore,True,kin
BRIP1,100.0,Q9BX63,0.824508,proteoscore,False,other
BTK,100.0,Q06187,0.656484,proteoscore,False,kin
BUB1,100.0,O43683,-0.0482370342822394,VIPER,True,kin
CAD,100.0,P27708,0.49052,proteoscore,False,kin
CALM1,100.0,P0DP23,,CARNIVAL,False,other
CAMK1,100.0,Q14012,,CARNIVAL,False,kin
CAMKK1,100.0,Q8N5S9,,CARNIVAL,False,kin
CAMKK2,-100.0,Q96RR4,-2.42351,PhosphoScore,False,kin
CAPN2,-100.0,P17655,-0.503386,proteoscore,False,other
CAPZA1,-100.0,P52907,-0.285901,proteoscore,False,other
CARD11,-51.0,Q9BXL7,,CARNIVAL,False,kin
CARD9,100.0,Q9H257,0.442933,proteoscore,False,other
CARM1,-100.0,Q86X55,-0.381794,proteoscore,False,tf
CASP3,100.0,P42574,1.88616,proteoscore,False,other
CASP6,-100.0,P55212,-1.46911,proteoscore,False,other
CASP7,100.0,P55210,3.75325,proteoscore,False,other
CAST,-100.0,P20810,-5.42364,proteoscore,False,other
CAT,-100.0,P04040,-0.528025,proteoscore,False,other
CAV1,-100.0,Q03135,,CARNIVAL,False,other
CBLB,-100.0,Q13191,,CARNIVAL,False,other
CBX4,-100.0,O00257,-0.850757,proteoscore,False,tf
CC2D1A,-100.0,Q6P1N0,-3.39664,proteoscore,False,tf
CCAR2,-100.0,Q8N163,-0.739239,proteoscore,False,other
CCDC50,-100.0,Q8IVM0,-2.75635,proteoscore,False,other
CCDC88A,-100.0,Q3V6T2,-2.0602,PhosphoScore,False,other
CCNB1,-100.0,P14635,-0.563637,proteoscore,False,other
CCNT1,-100.0,O60563,-0.385219,proteoscore,False,other
CCNY,-100.0,Q8ND76,-0.837452,proteoscore,False,other
CDC20,100.0,Q12834,-0.977095,proteoscore,True,other
CDC25C,100.0,P30307,1.33624,PhosphoScore,False,phos
CDC27,-100.0,P30260,-0.910259,proteoscore,False,other
CDC42,-100.0,P60953-1;P60953,,CARNIVAL,False,other
CDCA5,-100.0,Q96FF9,-2.98985,proteoscore,False,other
CDK1,-100.0,P06493,-2.113694150858324,VIPER+PhosphoScore,False,kin
CDK3,-100.0,Q00526,-2.674748797656795,VIPER,False,kin
CDK4,-29.0,P11802,0.542396,proteoscore,True,kin
CDK5,-100.0,Q00535,-3.636605683095303,VIPER,False,kin
CDK5RAP2,-100.0,Q96SN8,,CARNIVAL,False,other
CDK9,100.0,P50750,-0.05795233041441679,VIPER,True,kin
CDKN1A,100.0,P38936,0.793689,proteoscore,False,kin
CDT1,-100.0,Q9H211,-0.36147,proteoscore,False,other
CEBPA,-100.0,P49715,,CARNIVAL,False,tf
CEBPB,100.0,P17676,,CARNIVAL,False,tf
CENPU,-100.0,Q71F23,-1.6264,proteoscore,False,other
CEP55,-100.0,Q53EZ4,-2.768165,PhosphoScore,False,other
CFL1,100.0,P23528,0.672926,proteoscore,False,other
CHD2,-100.0,O14647,-0.536645,proteoscore,False,other
CHN2,100.0,P52757,1.29516,proteoscore,False,other
CIITA,-100.0,P33076,,CARNIVAL,False,other
CLIP1,-100.0,P30622-2;P30622,-0.630165,proteoscore,False,other
CLSPN,-100.0,Q9HAW4,-1.26398,proteoscore,False,other
CRBN,100.0,Q96SW2,,CARNIVAL,False,other
CREB1,100.0,P16220-1;P16220,0.593056,proteoscore,False,tf
CRK,-100.0,P46108,-3.04616,PhosphoScore,False,other
CRKL,100.0,P46109,-2.83843,proteoscore,True,other
CSK,100.0,P41240,0.94137,proteoscore,False,kin
CSNK1A1,-100.0,P48729,0.237537,proteoscore,True,kin
CSNK1D,-100.0,P48730,1.903506025857705,VIPER,True,kin
CSNK1E,100.0,P49674,2.628765,PhosphoScore,False,kin
CSNK2A1,-100.0,P68400,-0.2015716552660786,VIPER,False,kin
CSNK2B,-100.0,P67870,-1.12304,proteoscore,False,kin
CSRP1,100.0,P21291,0.827505,proteoscore,False,other
CTNND1,-100.0,O60716,-3.325755,PhosphoScore,False,other
CTTN,-100.0,Q14247,-5.38627,proteoscore,False,other
CUL3,-100.0,Q13618,0.170856,proteoscore,True,other
CULLIN4_RBX1_DDB1,100.0,SIGNOR-C119,,CARNIVAL,False,complex
CULLIN_1_RBX1_SKP1,-100.0,SIGNOR-C529,,CARNIVAL,False,complex
CYCLINE_CDK2,-100.0,SIGNOR-C16,,CARNIVAL,False,complex
CYLD,-100.0,Q9NQC7,-1.80204,PhosphoScore,False,other
DAB2,-100.0,P98082,-2.28028,proteoscore,False,other
DAB2IP,100.0,Q5VWQ8,3.22285,proteoscore,False,other
DAP,100.0,P51397,1.89681,PhosphoScore,False,other
DAPP1,100.0,Q9UN19,4.5425,proteoscore,False,other
DAXX,-100.0,Q9UER7,-2.54564,PhosphoScore,False,tf
DCK,-100.0,P27707,-3.10448,PhosphoScore,False,kin
DDX3X,100.0,O00571,0.607049,proteoscore,False,other
DDX5,100.0,P17844,0.311144,proteoscore,False,other
DES,-100.0,P17661,-1.07832,proteoscore,False,other
DHODH,100.0,Q02127,0.996055,proteoscore,False,other
DHPS,-100.0,P49366,-0.719018,proteoscore,False,other
DHX9,-100.0,Q08211,-1.20353,proteoscore,False,tf
DLK1,-100.0,P80370,-1.93002,proteoscore,False,other
DNAJB1,-100.0,P25685,-0.951614,proteoscore,False,tf
DNM1,-100.0,Q05193,-1.43731,proteoscore,False,other
DNM2,100.0,P50570,-0.74043,proteoscore,True,other
DNMT1,100.0,P26358-2;P26358,0.887995,proteoscore,False,other
DNMT3A,100.0,Q9Y6K1,3.39343,proteoscore,False,tf
DOCK7,-100.0,Q96N67,-2.57724,proteoscore,False,other
DOK1,100.0,Q99704,1.03055,proteoscore,False,other
DPYSL2,100.0,Q16555;NP_001184222,3.32009,proteoscore,False,other
DVL2,100.0,O14641,0.580107,proteoscore,False,other
DYNC1I2,-100.0,Q13409,-0.416203,proteoscore,False,other
DYNC1LI1,-100.0,Q9Y6G9,-0.541965,proteoscore,False,other
DYNLL1,-100.0,P63167,-0.728901,proteoscore,False,other
DYRK1B,-100.0,Q9Y463,-2.39909,PhosphoScore,False,kin
E2F1,-100.0,Q01094,,CARNIVAL,False,tf
E4F1,-100.0,Q66K89,-1.4494,proteoscore,False,tf
EEF1A2,-100.0,Q05639,-2.1157,proteoscore,False,other
EEF2K,100.0,O00418,5.29315,PhosphoScore,False,kin
EGFR,100.0,P00533,,CARNIVAL,False,kin
EGLN1,-100.0,Q9GZT9,-3.57441,PhosphoScore,False,other
EIF2AK2,-100.0,P19525,-3.04509,proteoscore,False,kin
EIF2S1,100.0,P05198,0.285962,proteoscore,False,other
EIF2S2,-100.0,P20042,,CARNIVAL,False,other
EIF3F,100.0,O00303,0.472039,proteoscore,False,other
EIF4EBP1,100.0,Q13541,3.32188,PhosphoScore,False,other
EIF4G2,-100.0,P78344,-0.277452,proteoscore,False,other
ENAH,100.0,Q8N8S7,2.73471,proteoscore,False,other
ENO1,-100.0,P06733,-1.00957,proteoscore,False,tf
EP300,100.0,Q09472,0.485765,proteoscore,False,tf
EPB41,-100.0,P11171,-1.25374,proteoscore,False,other
EPN1,-100.0,Q9Y6I3,-2.10492,proteoscore,False,other
ERBB2,0.0,P04626,,CARNIVAL,False,kin
ERCC6L,100.0,Q2NKX8,0.523666,proteoscore,False,other
ESPL1,100.0,Q14674,1.36289,PhosphoScore,False,other
ETV6,100.0,P41212,1.79061,proteoscore,False,tf
EWSR1,-100.0,Q01844,-0.238336,proteoscore,False,tf
EXOSC9,-100.0,Q06265,-0.642214,proteoscore,False,other
EZR,100.0,P15311,-0.7927,proteoscore,True,other
FADD,100.0,Q13158,0.877587,proteoscore,False,other
FANCD2,-100.0,Q9BXW9,-1.75962,proteoscore,False,other
FBXO5,-100.0,Q9UKT4,-2.69072,proteoscore,False,other
FBXW7,-100.0,Q969H0,,CARNIVAL,False,other
FBXW8,-100.0,Q8N3Y1,-0.977168,proteoscore,False,other
FCGR2A,-100.0,P12318,-4.84719,proteoscore,False,other
FER,-100.0,P16591,-1.89038,proteoscore,False,kin
FES,100.0,P07332,2.42517,proteoscore,False,kin
FH,-100.0,P07954,-1.20774,proteoscore,False,other
FHOD1,-100.0,Q9Y613,-1.8913,proteoscore,False,other
FKBP4,100.0,Q02790,0.969894,proteoscore,False,other
FKBP8,100.0,Q14318,0.619272,proteoscore,False,other
FLCN,100.0,Q8NFG4,4.462820000000001,PhosphoScore,False,other
FLI1,100.0,Q01543,3.32472,proteoscore,False,tf
FLNA,-100.0,P21333,-0.75278,proteoscore,False,other
FLT3,100.0,P36888,4.50212,proteoscore,False,kin
FNIP1,-100.0,Q8TF40,-0.699178,proteoscore,False,other
FOXN3,100.0,O00409,2.71846,PhosphoScore,False,tf
FUS,-100.0,P35637,-0.452465,proteoscore,False,tf
G6PD,-100.0,P11413-3;P11413,-1.74898,proteoscore,False,other
GAB1,100.0,Q13480,0.916278,proteoscore,False,other
GAB2,-100.0,Q9UQC2,-1.90556,proteoscore,False,other
GABARAP,100.0,O95166,,CARNIVAL,False,other
GAMMA_SECRETASE,100.0,SIGNOR-C98,,CARNIVAL,False,complex
GATA1,-100.0,P15976,-5.76435,proteoscore,False,tf
GATA2,100.0,P23769,1.39184,proteoscore,False,tf
GEM,100.0,P55040,,CARNIVAL,False,other
GFPT1,-100.0,Q06210-2;Q06210,-1.30435,proteoscore,False,other
GIT1,100.0,Q9Y2X7,0.771727,proteoscore,False,other
GLI3,-100.0,P10071,,CARNIVAL,False,tf
GLS,100.0,O94925-3;O94925,0.942182,proteoscore,False,other
GMNN,-100.0,O75496,-1.76234,proteoscore,False,tf
GNA13,-100.0,Q14344,-0.282695,proteoscore,False,other
GNAQ,-100.0,P50148,-3.81197,proteoscore,False,other
GORASP1,-100.0,Q9BQQ3,-0.721263,proteoscore,False,other
GORASP2,-100.0,Q9H8Y8,-1.23579,proteoscore,False,other
GP1BB,-100.0,P13224,-4.40513,proteoscore,False,other
GPHN,100.0,Q9NQX3,1.99276,proteoscore,False,other
GRAP,100.0,Q13588,1.57078,proteoscore,False,other
GRB10,100.0,Q13322,2.17353,PhosphoScore,False,other
GRB7,100.0,Q14451,1.40201,proteoscore,False,other
GRK2,100.0,P25098,-0.1037795094722005,VIPER,True,kin
GSK3A,-100.0,P49840,-4.38002112219708,VIPER,False,kin
GSN,100.0,P06396-3;P06396,0.904641,proteoscore,False,other
GSTP1,-100.0,P09211,-2.59483,proteoscore,False,other
GTF2I,-100.0,P78347,-0.845754,proteoscore,False,tf
H4C1__H4C2__H4C3__H4C4__H4C5__H4C6__H4C8__H4C9__H4C11__H4C12__H4C13__H4C14__H4C15__H4C16,-100.0,P62805,,CARNIVAL,False,other
HAT1,-100.0,O14929,-1.17671,proteoscore,False,other
HBP1,100.0,O60381,0.709827,PhosphoScore,False,tf
HDAC1,-100.0,Q13547,-3.36136,PhosphoScore,False,tf
HDAC2,100.0,Q92769,1.5443,PhosphoScore,False,other
HDAC3,100.0,O15379,1.75796,PhosphoScore,False,tf
HDAC6,-100.0,Q9UBN7,-4.961,PhosphoScore,False,other
HDAC7,-100.0,Q8WUI4,-2.38469,proteoscore,False,tf
HIPK2,-100.0,Q9H2X6,-0.4417804408222547,VIPER,False,kin
HIRA,-100.0,P54198,-1.18578,proteoscore,False,tf
HK2,100.0,P52789,1.25346,proteoscore,False,kin
HMGA1,-100.0,P17096,-2.10079,proteoscore,False,tf
HMGA2,100.0,P52926,,CARNIVAL,False,tf
HNRNPA1,-100.0,P09651,-0.718949,proteoscore,False,other
HSD17B10,-100.0,Q99714,-0.517551,proteoscore,False,other
HSF1,100.0,Q00613,5.697635,PhosphoScore,False,tf
HSP90AB1,-100.0,P08238,-1.651933,PhosphoScore,False,other
HSPA1A,100.0,P0DMV8,,CARNIVAL,False,tf
HSPA8,-100.0,P11142,0.387861,proteoscore,True,other
HSPA9,-100.0,P38646,-1.33314,proteoscore,False,other
HSPB1,-100.0,P04792,-10.3278,PhosphoScore,False,other
HTT,100.0,P42858,3.63629,PhosphoScore,False,other
ID2,-100.0,Q02363,,CARNIVAL,False,other
IDH1,-100.0,O75874,-3.81461,proteoscore,False,other
IDH2,-100.0,P48735,-0.500991,proteoscore,False,other
IGF1R,100.0,P08069,3.27406,proteoscore,False,kin
IKBKB,100.0,O14920,0.00535379465736836,VIPER,False,kin
IKBKE,-75.5,Q14164,,CARNIVAL,False,kin
IKZF1,-100.0,Q13422,-0.257657,proteoscore,False,tf
IL16,100.0,Q14005,2.349,proteoscore,False,other
ILF3,-100.0,Q12906,-1.98373,proteoscore,False,other
ILK,100.0,Q13418,1.44735,proteoscore,False,kin
IMPDH1,100.0,P20839,0.320433,proteoscore,False,other
IMPDH2,100.0,P12268,0.806258,proteoscore,False,other
INSR,-100.0,P06213-2;P06213,,CARNIVAL,False,kin
IQGAP1,-100.0,P46940,-0.827067,proteoscore,False,other
IRAK1,-100.0,P51617,-1.75587,proteoscore,False,kin
IRAK3,100.0,Q9Y616,2.88344,proteoscore,False,kin
IRAK4,-100.0,Q9NWZ3,-0.843935,proteoscore,False,kin
IRF3,-100.0,Q14653,-3.5889,proteoscore,False,tf
IRF5,100.0,Q13568,1.76746,proteoscore,False,tf
IRS2,100.0,Q9Y4H2,0.9768045,PhosphoScore,False,other
ITCH,49.0,Q96J02-2;Q96J02,,CARNIVAL,False,other
ITGAL,100.0,P20701,2.86083,proteoscore,False,other
ITGB2,100.0,P05107,5.86954,proteoscore,False,other
ITGB3,100.0,P05106,2.71505,proteoscore,False,other
JAK1,100.0,P23458,1.34681,proteoscore,False,kin
JUN,0.0,P05412,-1.272426,PhosphoScore,False,tf
JUND,-100.0,P17535,-1.54315,proteoscore,False,tf
JUP,-100.0,P14923,-2.1966,proteoscore,False,tf
KAT5,100.0,Q92993,,CARNIVAL,False,tf
KAT7,100.0,O95251,0.553504,proteoscore,False,other
KAT8,-100.0,Q9H7Z6,-0.790693,proteoscore,False,tf
KCNH2,-100.0,Q12809;Q12809_VAR_014388,-1.97933,proteoscore,False,other
KDM1A,-100.0,O60341,-0.435994,proteoscore,False,tf
KDM3B,-100.0,Q7LBC6,-0.719067,proteoscore,False,tf
KDM5B,-100.0,Q9UGL1,-0.70723,proteoscore,False,tf
KDM6A,-100.0,O15550,-1.01451,proteoscore,False,other
KEAP1,-100.0,Q14145,-0.623172,proteoscore,False,other
KHDRBS1,-100.0,Q07666,-0.793532,proteoscore,False,other
KIDINS220,-100.0,Q9ULH0,-1.84247,proteoscore,False,other
KIF13B,100.0,Q9NQT8,0.489696,proteoscore,False,other
KIF2C,-100.0,Q99661,-0.20438,PhosphoScore,False,other
KIFC1,-100.0,Q9BW19,-0.637684,proteoscore,False,other
KLC1,-100.0,Q07866,-0.862778,proteoscore,False,other
KMT2A,-100.0,Q03164,-1.45259,proteoscore,False,other
KMT2D,-100.0,O14686-3;O14686,-3.35299,proteoscore,False,tf
KPNA2,-100.0,P52292,-0.261091,proteoscore,False,other
KRT8,-100.0,P05787,-8.10693,proteoscore,False,other
KSR1,100.0,Q8IVT5,0.550418,proteoscore,False,kin
LAMTOR1,-100.0,Q6IAA8,-1.07798,proteoscore,False,other
LARP6,-100.0,Q9BRS8,,CARNIVAL,False,other
LARP7,-100.0,Q4G0J3,-0.225278,proteoscore,False,other
LASP1,-100.0,Q14847,-2.30268,proteoscore,False,other
LATS2,-100.0,Q9NRM7,,CARNIVAL,False,kin
LDB1,-100.0,Q86U70,-0.576825,proteoscore,False,tf
LDHB,-100.0,P07195,-7.88612,proteoscore,False,other
LIMA1,-100.0,Q9UHB6,-1.04353,proteoscore,False,other
LIMK2,100.0,P53671,0.9076652405194556,VIPER,False,kin
LMNA,-100.0,P02545,-1.886263333333334,PhosphoScore,False,other
LMTK2,-100.0,Q8IWU2,-0.992498,proteoscore,False,kin
LPIN1,-100.0,Q14693,-1.33268,proteoscore,False,tf
LRP6,100.0,O75581,1.16514,proteoscore,False,other
LRRK1,100.0,Q38SD2,-0.502751,proteoscore,True,kin
LRRK2,-100.0,Q5S007,,CARNIVAL,False,kin
LYN,-100.0,P07948,0.537362,proteoscore,True,kin
LZTR1,-100.0,Q8N653,-0.903682,proteoscore,False,other
MAD2L1,100.0,Q13257,0.461287,proteoscore,False,other
MAF1,100.0,Q9H063,4.181633333333333,PhosphoScore,False,other
MAFG,-100.0,O15525,-1.53094,proteoscore,False,tf
MAGEA3,-100.0,P43357,-3.3241,proteoscore,False,other
MAP2K3,100.0,P46734,3.06027,proteoscore,False,kin
MAP2K4,100.0,P45985,1.79308,proteoscore,False,kin
MAP2K7,-100.0,O14733,-0.791029,proteoscore,False,kin
MAP4K1,100.0,Q92918,1.92979,proteoscore,False,kin
MAPK1,-100.0,P28482,-1.174954364702079,VIPER+PhosphoScore,False,kin
MAPK12,100.0,P53778,8.116857655087562,VIPER,False,kin
MAPK14,100.0,Q16539,-2.0077,PhosphoScore,True,kin
MAPK3,0.0,P27361-3;P27361,,CARNIVAL,False,kin
MAPK6,-100.0,Q16659,,CARNIVAL,False,kin
MAPK8,100.0,P45983,-0.09877985905874127,VIPER,True,kin
MAPK9,-100.0,P45984-2;P45984,,CARNIVAL,False,kin
MAPKAPK2,100.0,P49137,0.414779,proteoscore,False,kin
MAPKAPK5,-100.0,Q8IW41,-2.22679,PhosphoScore,False,kin
MARK2,100.0,Q7KZI7,0.3753613153136329,VIPER+PhosphoScore,False,kin
MARK3,100.0,P27448-3;P27448,0.693925,PhosphoScore,False,kin
MAVS,-100.0,Q7Z434,-4.44551,proteoscore,False,other
MAX,-100.0,P61244,-1.67124,PhosphoScore,False,tf
MAZ,-100.0,P56270,-0.421685,proteoscore,False,tf
MCM2,-100.0,P49736,-5.549654250000001,PhosphoScore,False,other
MDC1,-100.0,Q14676,-2.63414,proteoscore,False,other
MECOM,100.0,Q03112,2.59815,proteoscore,False,tf
MECP2,-100.0,P51608,-1.17562,proteoscore,False,tf
MED1,100.0,Q15648,0.22063,proteoscore,False,tf
MED12,100.0,Q93074,1.51603,proteoscore,False,tf
MED13L,100.0,Q71F56,1.08624,proteoscore,False,tf
MEF2C,-100.0,Q06413-3;Q06413,-2.48731,proteoscore,False,tf
MET,-100.0,P08581,,CARNIVAL,False,kin
MFN1,100.0,Q8IWA4,0.539045,proteoscore,False,other
MFN2,-100.0,O95140,-1.6754,proteoscore,False,other
MITF,-100.0,O75030-9;O75030,-1.35527,PhosphoScore,False,tf
MPRIP,-100.0,Q6WCQ1,-1.44665,proteoscore,False,other
MSN,-100.0,P26038,-0.660448,proteoscore,False,other
MSX2,-55.00000000000001,P35548,,CARNIVAL,False,tf
MTOR,-100.0,P42345,-0.7957842970826875,VIPER+PhosphoScore,False,kin
MTORC2,-100.0,SIGNOR-C2,,CARNIVAL,False,complex
MTSS1,100.0,O43312,2.01402,proteoscore,False,other
MUC1,-100.0,P15941,-1.55512,proteoscore,False,tf
MYBBP1A,100.0,Q9BQG0,2.0883,proteoscore,False,tf
MYC,100.0,P01106,3.23574,PhosphoScore,False,tf
MYCBP2,100.0,O75592,0.862595,proteoscore,False,other
MYL12A,100.0,P19105,1.937934,PhosphoScore,False,other
MYL6B,100.0,P14649,0.629202,proteoscore,False,other
MYLK,100.0,Q15746,2.38187,proteoscore,False,kin
MYO1C,100.0,O00159,1.63236,proteoscore,False,other
NACA,100.0,E9PAV3;Q13765,0.319254,proteoscore,False,tf
NAMPT,-100.0,P43490,-1.5156,proteoscore,False,other
NBR1,100.0,Q14596,2.5731,PhosphoScore,False,other
NCK1,100.0,P16333,0.556959,proteoscore,False,other
NCOA2,100.0,Q15596,2.33365,proteoscore,False,tf
NCOA3,-100.0,Q9Y6Q9,-2.26597,proteoscore,False,tf
NCOA6,-100.0,Q14686,-1.10556,proteoscore,False,tf
NCOR1,100.0,O75376,0.385145,proteoscore,False,tf
NCOR2,100.0,Q9Y618,0.640984,proteoscore,False,tf
NCSTN,100.0,Q92542,0.330169,proteoscore,False,other
NDRG1,100.0,Q92597,4.48259,proteoscore,False,other
NEDD1,100.0,Q8NHV4,1.09413,proteoscore,False,other
NEDD4L,100.0,Q96PU5,1.11785,PhosphoScore,False,other
NEFH,-100.0,P12036,-1.62963,proteoscore,False,other
NES,-100.0,P48681,-2.89881,proteoscore,False,other
NF2,-100.0,P35240,-1.58993,PhosphoScore,False,other
NFAT5,-100.0,O94916,-2.38787,proteoscore,False,tf
NFATC1,100.0,O95644,2.30679,proteoscore,False,tf
NFE2,-100.0,Q16621,-3.37331,proteoscore,False,tf
NFKB1,100.0,P19838,1.11901,proteoscore,False,tf
NFKB2,100.0,Q00653,2.10388,proteoscore,False,tf
NFKBIA,-100.0,P25963,-0.674941,proteoscore,False,other
NFKBIB,-100.0,Q15653,-2.29192,proteoscore,False,tf
NFX1,100.0,Q12986,0.485969,proteoscore,False,tf
NME1,-100.0,P15531,-2.12165,PhosphoScore,False,kin
NOTCH2,100.0,Q04721,2.45101,proteoscore,False,other
NR2F2,-100.0,P24468,-1.35512,proteoscore,False,tf
NR2F6,-100.0,P10588,-1.67277,proteoscore,False,tf
NR3C1,100.0,P04150,1.088,proteoscore,False,tf
NRBF2,100.0,Q96F24,4.53774,PhosphoScore,False,other
NTRK1,-100.0,P04629-2;P04629,-1.14954,proteoscore,False,kin
NUAK1,100.0,O60285,,CARNIVAL,False,kin
NUMA1,-100.0,Q14980,-0.452807,proteoscore,False,other
NUMB,-100.0,P49757,-0.795907,proteoscore,False,other
NUP153,-100.0,P49790,-0.388845,proteoscore,False,other
NUP50,100.0,Q9UKX7,0.907992,proteoscore,False,other
NUP98,-100.0,P52948,-0.307415,proteoscore,False,tf
OFD1,-100.0,O75665,-0.63206,proteoscore,False,other
OGT,100.0,O15294,0.296845,proteoscore,False,other
OPTN,100.0,Q96CV9,2.22143,proteoscore,False,other
OTUD5,-100.0,Q96G74,-0.420907,proteoscore,False,other
OXSR1,-100.0,O95747,-2.76179,PhosphoScore,False,kin
PA2G4,-100.0,Q9UQ80,-0.254434,proteoscore,False,tf
PABPC1,100.0,P11940,0.408723,proteoscore,False,other
PAK1,32.0,Q13153,,CARNIVAL,False,kin
PAK4,-100.0,O96013,-2.42274,proteoscore,False,kin
PARK7,-100.0,Q99497,-0.818016,proteoscore,False,tf
PARP1,-100.0,P09874,-1.6899,proteoscore,False,other
PAX7,-47.0,P23759,,CARNIVAL,False,tf
PBK,-100.0,Q96KB5,-1.11880417345574,VIPER+PhosphoScore,False,kin
PBX2,-100.0,P40425,-2.43824,proteoscore,False,tf
PBXIP1,100.0,Q96AQ6,,CARNIVAL,False,tf
PCBP2,100.0,Q15366,,CARNIVAL,False,other
PCNA,100.0,P12004,1.75361,proteoscore,False,other
PCYT1A,-100.0,P49585,-1.10063,proteoscore,False,other
PER2,100.0,O15055,,CARNIVAL,False,tf
PFKFB3,100.0,Q16875,0.86091,PhosphoScore,False,kin
PFKFB4,-100.0,Q16877,-3.81972,proteoscore,False,kin
PFKM,-100.0,P08237,-0.673072,proteoscore,False,kin
PFKP,-100.0,Q01813,-3.72865,PhosphoScore,False,kin
PGAM1,-100.0,P18669,-3.263205,PhosphoScore,False,other
