gene,degree,betweenness,closeness,eigenvector,community,evidence_count,degree_rank,betweenness_rank,bridge_score
MYC,69,0.2823346444264717,0.5846645367412141,0.6420993445802367,1,3,1,1,0
CDK1,51,0.10165532173546106,0.5243553008595988,1,2,2,2,3,-1
JUN,48,0.11280282490723037,0.5304347826086957,0.2282964277982126,1,4,3,2,1
TOP2A,42,0.047361057481655255,0.5,0.9581078923748173,2,2,4,8,-4
HIF1A,40,0.07023322176686901,0.5184135977337111,0.24697936048356275,1,2,5,5,0
TYMS,39,0.042677503504710085,0.4704370179948586,0.8869911733850732,2,2,6,10,-4
MCM3,34,0.01160076708182683,0.45864661654135336,0.852295103861377,2,2,7,34,-27
MCM5,32,0.006537447094955205,0.44634146341463415,0.8420036908282257,2,3,9,60,-51
KIF20A,32,0.008850887724251095,0.41876430205949655,0.8669962848573985,2,2,9,48,-39
TK1,32,0.013937338181548438,0.45073891625615764,0.8406497314487996,2,2,9,31,-22
PCNA,31,0.01945879288472008,0.4704370179948586,0.7209824499983237,2,3,12,20,-8
BUB1,31,0.004095075383941749,0.4357142857142857,0.8662635708954352,2,2,12,73,-61
PTTG1,31,0.008906052176518183,0.45073891625615764,0.864817423362978,2,2,12,47,-35
NUSAP1,30,9.880036102988482e-4,0.40131578947368424,0.8576513235486619,2,2,14.5,113,-98.5
RACGAP1,30,0.01075825603016181,0.4245939675174014,0.832248415852735,2,2,14.5,39,-24.5
GINS2,29,9.610764531308537e-4,0.3978260869565217,0.8369351850723848,2,2,17,114,-97
CDC25C,29,0.0031844135358282495,0.43160377358490565,0.8403002450430218,2,2,17,84,-67
ZWINT,29,0.007325528506591709,0.39956331877729256,0.819294644328641,2,2,17,58,-41
TTK,28,0.0020548017536358362,0.41216216216216217,0.8202853220881509,2,2,20.5,90,-69.5
CDCA5,28,3.982580584790939e-4,0.3952483801295896,0.8282863546693139,2,2,20.5,129,-108.5
CKS1B,28,0.006190582276507895,0.43675417661097854,0.816483257787515,2,2,20.5,62,-41.5
CKS2,28,0.004204061693169481,0.40848214285714285,0.798423440290357,2,2,20.5,71,-50.5
ENO1,27,0.04670235211626978,0.4753246753246753,0.2146817986243848,3,2,23,9,14
TPX2,26,0.0021083077279063184,0.42857142857142855,0.7845845629158331,2,2,24.5,89,-64.5
CENPU,26,2.8412645880910355e-4,0.3935483870967742,0.7833829105811552,2,2,24.5,135,-110.5
ASF1B,25,0.00394930353552018,0.3969631236442516,0.7122707197919438,2,2,27.5,76,-48.5
TUBB,25,0.05451060508299819,0.4728682170542636,0.2977084834061191,6,2,27.5,6,21.5
PTPRC,25,0.07713300541103713,0.4474327628361858,0.08456444693216338,4,2,27.5,4,23.5
NFKBIA,25,0.022300156128211623,0.4765625,0.15174763440759328,1,2,27.5,17,10.5
CEP55,24,3.585370751303257e-4,0.39186295503211993,0.71751533264731715,2,2,30,132,-102
UBE2T,23,8.819516721970087e-5,0.391025641025641,0.7108478189595646,2,2,31,147,-116
RPL8,22,0.018130561240927774,0.4057649667405765,0.12007573493186935,6,2,32,23,9
GMNN,21,0.011014455252772629,0.39019189765458423,0.6250366530398548,2,3,34,37,-3
ESPL1,21,8.724665832388362e-5,0.3796680497925311,0.6423406577107993,2,2,34,148,-114
MND1,21,8.981143923188804e-6,0.3860759493670886,0.6667834330259453,2,2,34,155,-121
CLSPN,20,0.003405851315284793,0.4226327944572748,0.5599317591170037,2,3,37.5,83,-45.5
EGR1,20,0.007654588797889211,0.4216589861751152,0.09168871617100816,1,3,37.5,56,-18.5
ATF3,20,0.009326256628012071,0.4420289855072464,0.11536988440189244,1,2,37.5,45,-7.5
SQSTM1,20,0.0287013211175856,0.4575,0.13763091419247037,1,2,37.5,13,24.5
GATA2,19,0.03169309977222368,0.452970297029703,0.11146441619039098,1,2,40.5,12,28.5
CHAF1B,19,0.010453207950847284,0.4295774647887324,0.5218891858813953,2,2,40.5,41,-0.5
PHB,18,0.01896521396675435,0.45185185185185184,0.24765473508696215,3,2,44,21,23
IDH1,18,0.02260627791896663,0.45185185185185184,0.11243019590205075,3,2,44,15,29
SOD2,18,0.018596928728220587,0.44096385542168676,0.09906954030563522,3,2,44,22,22
DUSP1,18,0.010683109139984923,0.42757009345794394,0.10797183835609629,1,2,44,40,4
MRPS7,18,0.003969789991072237,0.3560311284046693,0.04286155583959809,6,2,44,75,-31
PKMYT1,17,2.3943902471598372e-4,0.3804573804573805,0.516688115931021,2,2,48.5,137,-88.5
RPS29,17,0.003881008075052598,0.36381709741550694,0.038715377122785624,6,2,48.5,77,-28.5
RPS28,17,0.004210614164805335,0.3485714285714286,0.03039360227483006,6,2,48.5,70,-21.5
MRPL4,17,0.004163578941693741,0.3567251461988304,0.03599865369710416,6,2,48.5,72,-23.5
TNFAIP3,16,0.007531062534383663,0.4255813953488372,0.07323088513422583,1,2,51,57,-6
DDIT3,15,0.014963428527413223,0.3893617021276596,0.046262625349969506,6,2,54.5,26,28.5
TUBA1A,15,0.021122137616717634,0.4609571788413098,0.1278720951104478,3,2,54.5,18,36.5
HMGCR,15,0.03848764956585287,0.41216216216216217,0.07381982093606015,3,2,54.5,11,43.5
STMN1,15,0.006323671233793448,0.43990384615384615,0.32622934484074667,3,2,54.5,61,-6.5
RPS21,15,0.0037213326259115807,0.3433395872420263,0.02515592438130681,6,2,54.5,80,-25.5
RPL31,15,0.0014425189734337388,0.35812133072407043,0.03769327108296135,6,2,54.5,102,-47.5
SLC2A1,14,0.004311438681023754,0.44096385542168676,0.13903963190098745,3,2,60,69,-9
IRF3,14,0.004948667894363579,0.4168564920273349,0.06587721889471267,1,2,60,66,-6
NCOA3,14,0.019522079930142867,0.43160377358490565,0.09461727306837438,1,2,60,19,41
YBX1,14,0.011802848665577436,0.4430992736077482,0.1548572934449788,6,2,60,33,27
RPL38,14,0.0012340368935777734,0.3560311284046693,0.032035127282107695,6,2,60,108,-48
HSPE1,13,0.00808797931011594,0.386892177589852,0.1125433208585293,3,2,63.5,53,10.5
RPL36A,13,8.509086637539514e-4,0.3539651837524178,0.029789401873753212,6,2,63.5,116,-52.5
PGAM1,12,0.0036229138212289574,0.38445378151260506,0.05702114328099106,3,3,66.5,81,-14.5
PRDX1,12,0.014947023470949478,0.4420289855072464,0.1062430642754718,3,2,66.5,27,39.5
RPL39,12,6.055388832199669e-4,0.35260115606936415,0.029039064890242917,6,2,66.5,122.5,-56
RPL37,12,6.055388832199669e-4,0.35260115606936415,0.02903906489024287,6,2,66.5,122.5,-56
CYLD,11,0.0061626491560016995,0.4057649667405765,0.0595262280201101,1,2,71.5,63,8.5
RAD23A,11,0.004591594454823227,0.34398496240601506,0.020535913990123583,6,2,71.5,67,4.5
USF1,11,0.001795392348629934,0.4168564920273349,0.06540806479317976,1,2,71.5,95,-23.5
LIG1,11,0.007758341337450069,0.37423312883435583,0.27375024109059815,2,2,71.5,55,16.5
IGF1R,11,0.013378412252910584,0.43364928909952605,0.08806908610955393,4,2,71.5,32,39.5
ACAT2,11,0.008592323649996639,0.34923664122137404,0.017362538032749345,3,2,71.5,50,21.5
INSIG1,10,0.007799342760018939,0.35260115606936415,0.08008596058590005,3,3,77.5,54,23.5
TRADD,10,0.01112080292716309,0.3616600790513834,0.03103798285903777,1,2,77.5,35,42.5
DHFR,10,0.004069783237000025,0.42857142857142855,0.20442954299512978,3,2,77.5,74,3.5
LMNA,10,0.0055031119488876765,0.43364928909952605,0.1404235713939196,1,2,77.5,64,13.5
MAVS,10,0.001923761040837479,0.37731958762886597,0.039574279716282745,1,2,77.5,94,-16.5
ETV6,10,0.014788019436272185,0.39956331877729256,0.04408809020817745,1,2,77.5,28,49.5
FDPS,9,0.0035821846292444755,0.3505747126436782,0.020601323533346205,3,3,88,82,6
BHLHE40,9,0.0027110515864110763,0.373469387755102,0.036881220894883916,1,2,88,86,2
TMPO,9,2.2456027315186718e-4,0.3674698795180723,0.27316384880481026,2,2,88,139,-51
BTG2,9,0.001044401250490469,0.3961038961038961,0.05231595363572992,1,2,88,112,-24
BAX,9,0.0030387001598253,0.41123595505617977,0.054274315214018765,1,2,88,85,3
CD38,9,0.009031996608751019,0.39019189765458423,0.03209080617347339,4,2,88,46,42
HK2,9,0.0014571596089074058,0.4066666666666667,0.05828230860328624,3,2,88,101,-13
EEF1A2,9,0.001989772469372626,0.375,0.03957254007152095,6,2,88,93,-5
ECHS1,9,0.010045219292919917,0.36237623762376237,0.029639963316382075,3,2,88,44,44
EIF4EBP1,9,0.0012120663362137076,0.4216589861751152,0.12413225578409115,1,2,88,109,-21
FDFT1,9,0.00666825891128757,0.35192307692307695,0.017708839643430365,3,2,88,59,29
FDXR,9,0.016057268031490216,0.373469387755102,0.056323294875381014,3,2,88,25,63
RHOB,9,0.0013409677007741835,0.41123595505617977,0.11265126672831076,1,2,88,105,-17
NFKB2,9,9.168269369413666e-4,0.3961038961038961,0.050226382464650686,1,2,88,115,-27
DPYSL2,9,0.017040973439871356,0.3682092555331992,0.043904306109067565,3,2,88,24,64
HMGCS1,8,4.016980070844239e-4,0.3204903677758319,0.00973235190227137,3,3,100.5,128,-27.5
ITGB2,8,0.02618643152858805,0.3877118644067797,0.030116380353993145,4,3,100.5,14,86.5
KLF2,8,3.095338955597309e-4,0.4103139013452915,0.06020158187642881,1,2,100.5,133,-32.5
CSNK1D,8,0.010424733455885087,0.40939597315436244,0.05498969558953978,6,2,100.5,42,58.5
MVK,8,6.634665812685396e-4,0.3182608695652174,0.008763804097272235,3,2,100.5,120,-19.5
APAF1,8,0.0016775911383070487,0.4216589861751152,0.094507694628675,1,2,100.5,97,3.5
EIF4A2,8,0.003766168052686165,0.39869281045751637,0.06146308238152703,6,2,100.5,78,22.5
RUNX3,8,0.0020009156327996593,0.41123595505617977,0.05342368479462349,1,2,100.5,92,8.5
ALDH1A1,8,0.008092085039951296,0.4168564920273349,0.07578305068064928,1,2,100.5,52,48.5
NFKBIZ,8,9.596944187656397e-5,0.35952848722986247,0.03302553435166989,1,2,100.5,145,-44.5
CYP51A1,7,0,0.3177083333333333,0.008649373044993944,3,2,108.5,170,-61.5
NR4A2,7,8.387830401881923e-5,0.3560311284046693,0.024879909978134978,1,2,108.5,149,-40.5
RALA,7,0.04812314052688244,0.4103139013452915,0.06765362765095008,4,2,108.5,7,101.5
CD83,7,0.0016622661088955242,0.34923664122137404,0.019636124359925924,4,2,108.5,99,9.5
PBX1,7,0.014642354825045114,0.3877118644067797,0.03487788133571652,1,2,108.5,30,78.5
TET2,7,0.001170935819249408,0.40848214285714285,0.04830370711678123,4,2,108.5,111,-2.5
CTTN,6,0.022521782671207347,0.40308370044052866,0.06602715342308421,5,2,116.5,16,100.5
IER2,6,0,0.3539651837524178,0.023532351547195147,1,2,116.5,170,-53.5
PFKFB4,6,2.988894187324306e-4,0.3652694610778443,0.03074154991041692,3,2,116.5,134,-17.5
POLD2,6,5.137887616977165e-4,0.3961038961038961,0.15806736796431284,2,2,116.5,126,-9.5
IL3RA,6,0.0017117636721501375,0.3166089965397924,0.005609697150975471,4,2,116.5,96,20.5
MECOM,6,6.030005491328482e-4,0.3609467455621302,0.021382718166401346,1,2,116.5,124,-7.5
ZEB2,6,0.0037278266126310293,0.39956331877729256,0.04601572759463014,1,2,116.5,79,37.5
SAE1,6,0.010221510446542688,0.40308370044052866,0.10175752177339477,4,2,116.5,43,73.5
NFE2,6,3.9283792863740796e-4,0.3935483870967742,0.04520363728304494,1,2,116.5,130,-13.5
FSCN1,6,0.014648822148366623,0.39186295503211993,0.038967831900210394,5,2,116.5,29,87.5
KLC4,5,0.008651081079025503,0.3267857142857143,0.0664015660560509,4,2,126,49,77
ATP5MC1,5,5.1066177447705044e-5,0.32854578096947934,0.018404471222931543,6,2,126,152,-26
TSPO,5,0.0021102640433200044,0.3560311284046693,0.01781219341517134,3,2,126,88,38
CALCOCO2,5,4.3451209381343295e-4,0.33394160583941607,0.01325124239703246,1,2,126,127,-1
CD200,5,0.0053504516612443735,0.31443298969072164,0.00492220228748054,4,2,126,65,61
SP100,5,0.008163939526619552,0.3836477987421384,0.03310767242844469,4,2,126,51,75
PPARD,5,5.882406380347163e-4,0.40486725663716816,0.04876241250610018,1,2,126,125,1
MAFG,5,9.093937214996485e-5,0.3667334669338677,0.02933302465763413,1,2,126,146,-20
ACTA2,5,0.0013162429427931847,0.35812133072407043,0.01344162843367312,3,2,126,106,20
PER1,4,8.107307822780391e-4,0.32332155477031804,0.0058663269875179475,1,3,134.5,117,17.5
TNFRSF4,4,0,0.3128205128205128,0.004823373326403688,4,2,134.5,170,-35.5
TSC22D3,4,0.0012768255952014462,0.3567251461988304,0.01872970905548704,1,2,134.5,107,27.5
CD300A,4,1.301066874837367e-4,0.3128205128205128,0.006124672319351566,4,2,134.5,144,-9.5
CFP,4,0.011034047919293822,0.2841614906832298,0.0014539335490793026,4,2,134.5,36,98.5
STAR,4,0.0013582882170207055,0.31497418244406195,0.005868294818849684,3,2,134.5,104,30.5
EREG,4,0.0011951942960142013,0.31881533101045295,0.006785296111361249,5,2,134.5,110,24.5
RARB,4,0.0016041049127768147,0.3539651837524178,0.013736653842392234,1,2,134.5,100,34.5
DDX60L,3,3.704371521671168e-4,0.2961165048543689,0.0033621852577443616,6,2,143.5,131,12.5
HLA-E,3,7.823110247540288e-4,0.3452830188679245,0.014729370059987082,4,2,143.5,118,25.5
