gene1,gene2,combined_score
CYP51A1,MVK,782
CYP51A1,MVK,782
MCM5,GMNN,847
MCM5,GMNN,847
NFKBIA,DUSP1,652
NFKBIA,DUSP1,652
NFKBIA,EGR1,497
NFKBIA,EGR1,497
DUSP1,EGR1,800
DUSP1,EGR1,800
EEF1A2,MRPS7,495
EEF1A2,MRPS7,495
HSPE1,MRPS7,579
HSPE1,MRPS7,579
DUSP1,KLF2,527
DUSP1,KLF2,527
MCM5,GINS2,999
MCM5,GINS2,999
GMNN,GINS2,634
GMNN,GINS2,634
MND1,GINS2,436
MND1,GINS2,436
EGR1,BHLHE40,504
EGR1,BHLHE40,504
MCM5,ESPL1,490
MCM5,ESPL1,490
MCM5,PKMYT1,487
MCM5,PKMYT1,487
GINS2,PKMYT1,500
GINS2,PKMYT1,500
ESPL1,PKMYT1,649
ESPL1,PKMYT1,649
EEF1A2,RPL8,737
EEF1A2,RPL8,737
MRPS7,RPL8,955
MRPS7,RPL8,955
HSPE1,PRDX1,610
HSPE1,PRDX1,610
MCM5,LIG1,947
MCM5,LIG1,947
PKMYT1,LIG1,428
PKMYT1,LIG1,428
MCM5,ASF1B,863
MCM5,ASF1B,863
GINS2,ASF1B,540
GINS2,ASF1B,540
ESPL1,ASF1B,604
ESPL1,ASF1B,604
PKMYT1,ASF1B,517
PKMYT1,ASF1B,517
LIG1,ASF1B,446
LIG1,ASF1B,446
EGR1,MECOM,533
EGR1,MECOM,533
MCM5,TMPO,477
MCM5,TMPO,477
NFKBIA,SAE1,562
NFKBIA,SAE1,562
DUSP1,RHOB,474
DUSP1,RHOB,474
EGR1,RHOB,618
EGR1,RHOB,618
KLF2,RHOB,401
KLF2,RHOB,401
MRPS7,RPL37,782
MRPS7,RPL37,782
RPL8,RPL37,999
RPL8,RPL37,999
MCM5,CDCA5,553
MCM5,CDCA5,553
GMNN,CDCA5,541
GMNN,CDCA5,541
MND1,CDCA5,687
MND1,CDCA5,687
GINS2,CDCA5,683
GINS2,CDCA5,683
ESPL1,CDCA5,930
ESPL1,CDCA5,930
PKMYT1,CDCA5,601
PKMYT1,CDCA5,601
ASF1B,CDCA5,603
ASF1B,CDCA5,603
EREG,STAR,449
EREG,STAR,449
MCM5,CENPU,431
MCM5,CENPU,431
GMNN,CENPU,548
GMNN,CENPU,548
MND1,CENPU,805
MND1,CENPU,805
GINS2,CENPU,548
GINS2,CENPU,548
ESPL1,CENPU,683
ESPL1,CENPU,683
CDCA5,CENPU,705
CDCA5,CENPU,705
LIG1,XPC,443
LIG1,XPC,443
GMNN,CCDC146,739
GMNN,CCDC146,739
CYP51A1,HMGCR,948
CYP51A1,HMGCR,948
MVK,HMGCR,999
MVK,HMGCR,999
STAR,HMGCR,432
STAR,HMGCR,432
DUSP1,BTG2,739
DUSP1,BTG2,739
EGR1,BTG2,677
EGR1,BTG2,677
RHOB,BTG2,464
RHOB,BTG2,464
PFKFB4,HK2,866
PFKFB4,HK2,866
HK2,BAX,919
HK2,BAX,919
EGR1,ALDH1A1,433
EGR1,ALDH1A1,433
ALDH1A2,ALDH1A1,915
ALDH1A2,ALDH1A1,915
MVK,LIPC,450
MVK,LIPC,450
HMGCR,LIPC,719
HMGCR,LIPC,719
MCM5,TPX2,488
MCM5,TPX2,488
MND1,TPX2,515
MND1,TPX2,515
GINS2,TPX2,524
GINS2,TPX2,524
ESPL1,TPX2,810
ESPL1,TPX2,810
PKMYT1,TPX2,416
PKMYT1,TPX2,416
ASF1B,TPX2,596
