gene,L1_Krishnan_scRNAseq,L2_Awad_CRISPR_KO,L3_Krishnan_ML,L4_Sacco_RNAseq,L5_Sacco_Phospho,evidence_count,druggability_score
JUN,1,1,0,1,1,4,-1.272426
GMNN,1,0,0,1,1,3,-1.76234
PGAM1,1,1,0,0,1,3,-3.263205
PER1,1,1,0,1,0,3,NA
MYC,1,1,0,0,1,3,3.23574
CLSPN,1,1,0,0,1,3,-1.26398
PCNA,1,0,0,1,1,3,1.75361
INSIG1,1,1,1,0,0,3,NA
MCM5,1,1,0,1,0,3,0.42058
HMGCS1,1,1,0,1,0,3,NA
FDPS,1,1,0,1,0,3,NA
ITGB2,1,1,0,0,1,3,5.86954
EGR1,1,1,0,1,0,3,NA
KIF20A,0,1,0,1,0,2,0.411446
TNFRSF4,1,0,0,1,0,2,NA
KLC4,0,1,0,1,0,2,NA
TNFAIP3,1,0,0,1,0,2,NA
KLF2,1,0,0,1,0,2,NA
BHLHE40,1,0,0,1,0,2,-3.33408
NUSAP1,1,0,0,1,0,2,-0.463909
TMPO,0,0,1,1,0,2,NA
TSC22D3,1,0,0,1,0,2,NA
CYP51A1,0,1,0,1,0,2,NA
SLC29A1,1,0,0,1,0,2,-3.7437
SLC2A1,0,1,0,1,0,2,-0.360221
CYLD,0,0,0,1,1,2,-1.80204
TRADD,0,0,0,1,1,2,1.35259
TPX2,0,0,0,1,1,2,-1.68969
BTG2,1,0,0,1,0,2,NA
BUB1,0,1,0,1,0,2,-0.0482370342822394
GPHN,0,0,0,1,1,2,1.99276
TOP2A,0,0,0,1,1,2,-6.677255
P2RX1,0,1,0,1,0,2,NA
CTTN,0,0,0,1,1,2,-5.38627
BOLA3,0,1,0,1,0,2,NA
DHFR,1,0,0,1,0,2,1.70218
RAB13,1,0,0,1,0,2,-3.21332
ATP5MC1,1,1,0,0,0,2,NA
UBE2T,0,1,0,1,0,2,-1.14783
GATA2,1,0,0,0,1,2,1.39184
ATF3,1,1,0,0,0,2,NA
NUCKS1,1,0,0,1,0,2,NA
