gene,STRING_id
JUN,9606.ENSP00000360266
GMNN,9606.ENSP00000230056
PGAM1,9606.ENSP00000359991
PER1,9606.ENSP00000314420
MYC,9606.ENSP00000478887
PNRC1,9606.ENSP00000336931
CLSPN,9606.ENSP00000312995
PCNA,9606.ENSP00000368458
INSIG1,9606.ENSP00000344741
MCM5,9606.ENSP00000216122
HMGCS1,9606.ENSP00000322706
FDPS,9606.ENSP00000349078
ITGB2,9606.ENSP00000380948
EGR1,9606.ENSP00000239938
KIF20A,9606.ENSP00000378356
TNFRSF4,9606.ENSP00000368538
KLC4,9606.ENSP00000259708
TNFAIP3,9606.ENSP00000481570
DAPP1,9606.ENSP00000423602
KLF2,9606.ENSP00000248071
TRIOBP,9606.ENSP00000496394
BHLHE40,9606.ENSP00000256495
NUSAP1,9606.ENSP00000499238
TMPO,9606.ENSP00000266732
TSC22D3,9606.ENSP00000361458
NXN,9606.ENSP00000337443
CYP51A1,9606.ENSP00000003100
SLC29A1,9606.ENSP00000498610
SLC2A1,9606.ENSP00000416293
GP1BB,9606.ENSP00000383382
CYLD,9606.ENSP00000392025
TRADD,9606.ENSP00000341268
TPX2,9606.ENSP00000300403
BTG2,9606.ENSP00000290551
BUB1,9606.ENSP00000302530
GPHN,9606.ENSP00000417901
TPD52,9606.ENSP00000429309
GPR132,9606.ENSP00000328818
TOP2A,9606.ENSP00000411532
P2RX1,9606.ENSP00000225538
CTTN,9606.ENSP00000365745
BOLA3,9606.ENSP00000331369
DHFR,9606.ENSP00000396308
RAB13,9606.ENSP00000357564
LEPROT,9606.ENSP00000483521
ATP5MC1,9606.ENSP00000377033
UBE2T,9606.ENSP00000494957
GATA2,9606.ENSP00000345681
ATF7IP2,9606.ENSP00000379808
ATF3,9606.ENSP00000344352
NUCKS1,9606.ENSP00000356110
GAS2,9606.ENSP00000401145
RACGAP1,9606.ENSP00000404190
ASF1B,9606.ENSP00000263382
RAD23A,9606.ENSP00000467024
LIPC,9606.ENSP00000299022
USF1,9606.ENSP00000357000
LMNA,9606.ENSP00000357283
GAD1,9606.ENSP00000350928
GAB2,9606.ENSP00000354952
LIG1,9606.ENSP00000263274
BCO2,9606.ENSP00000350314
JAKMIP3,9606.ENSP00000499375
DDAH2,9606.ENSP00000364949
TSPO,9606.ENSP00000379563
DDIT3,9606.ENSP00000448665
GINS2,9606.ENSP00000253462
BAX,9606.ENSP00000293288
TTK,9606.ENSP00000358813
PTPN7,9606.ENSP00000309116
TYMS,9606.ENSP00000315644
TUBA1A,9606.ENSP00000439020
TUBB,9606.ENSP00000339001
DDX60L,9606.ENSP00000260184
PTTG1,9606.ENSP00000377536
SIK3,9606.ENSP00000364449
NR4A2,9606.ENSP00000344479
DEPP1,9606.ENSP00000298295
DES,9606.ENSP00000363071
QRICH2,9606.ENSP00000262765
PTPRC,9606.ENSP00000411355
CDK1,9606.ENSP00000378699
PI4KB,9606.ENSP00000357869
HIST3H2A,9606.ENSP00000355656
CDCA5,9606.ENSP00000275517
SYPL1,9606.ENSP00000011473
HSPE1,9606.ENSP00000233893
CDC25C,9606.ENSP00000321656
SYTL2,9606.ENSP00000318803
RALA,9606.ENSP00000005257
CD83,9606.ENSP00000368450
PHB,9606.ENSP00000479488
IDH1,9606.ENSP00000390265
CD38,9606.ENSP00000226279
HIF1A,9606.ENSP00000437955
IDS,9606.ENSP00000339801
CD300A,9606.ENSP00000353259
IER2,9606.ENSP00000465617
SQSTM1,9606.ENSP00000374455
HLA-E,9606.ENSP00000365817
CHAF1B,9606.ENSP00000315700
CFP,9606.ENSP00000247153
HMGCR,9606.ENSP00000287936
CHN1,9606.ENSP00000386741
CHN2,9606.ENSP00000222792
PKMYT1,9606.ENSP00000262300
PLCD1,9606.ENSP00000430344
SSH1,9606.ENSP00000315713
CENPU,9606.ENSP00000281453
STMN1,9606.ENSP00000410452
PLD1,9606.ENSP00000342793
STAR,9606.ENSP00000276449
CKS1B,9606.ENSP00000311083
CKS2,9606.ENSP00000364976
HSH2D,9606.ENSP00000482604
HK2,9606.ENSP00000290573
CEP55,9606.ENSP00000360540
TK1,9606.ENSP00000468425
CPA3,9606.ENSP00000296046
GUK1,9606.ENSP00000355689
SNRPA,9606.ENSP00000243563
IRF3,9606.ENSP00000471896
CALCOCO2,9606.ENSP00000398523
CRHBP,9606.ENSP00000274368
CD200,9606.ENSP00000420298
PBXIP1,9606.ENSP00000357448
