gene,degree,betweenness,closeness,eigenvector,community,evidence_count,degree_rank,betweenness_rank,bridge_score,ENTREZID,druggability_score,drug_method,is_hub,is_bridge,is_core,is_druggable,degree_norm,between_norm,evidence_norm,drug_norm,target_score
MYC,69,0.2823346444264717,0.5846645367412141,0.6420993445802367,1,3,1,1,0,4609,3.23574,PhosphoScore,TRUE,FALSE,TRUE,TRUE,1,1,0.5,0.551276590669797,0.7602553181339594
JUN,48,0.11280282490723037,0.5304347826086957,0.2282964277982126,1,4,3,2,1,3725,-1.272426,PhosphoScore,TRUE,FALSE,TRUE,FALSE,0.6911764705882353,0.39953589520115573,0.75,-0.21678462025985001,0.46890319616473164
ITGB2,8,0.02618643152858805,0.3877118644067797,0.030116380353993145,4,3,100.5,14,86.5,3689,5.86954,proteoscore,FALSE,TRUE,TRUE,TRUE,0.10294117647058823,0.09274962193103359,0.5,1,0.3994322773273832
PCNA,31,0.01945879288472008,0.4704370179948586,0.7209824499983237,2,3,12,20,-8,5111,1.75361,proteoscore,TRUE,FALSE,TRUE,TRUE,0.4411764705882353,0.06892102428396005,0.5,0.2987644687658658,0.35589003978643574
MCM5,32,0.006537447094955205,0.44634146341463415,0.8420036908282257,2,3,9,60,-51,4174,0.42058,proteoscore,TRUE,FALSE,TRUE,TRUE,0.45588235294117646,0.02315495892555173,0.5,0.07165467822009902,0.3057266333114831
HIF1A,40,0.07023322176686901,0.5184135977337111,0.24697936048356275,1,2,5,5,0,3091,0,NA,TRUE,FALSE,FALSE,FALSE,0.5735294117647058,0.2487587802394538,0.25,0,0.2968105795773025
CDK1,51,0.10165532173546106,0.5243553008595988,1,2,2,2,3,-1,983,-2.113694150858324,VIPER+PhosphoScore,TRUE,FALSE,FALSE,FALSE,0.7352941176470589,0.36005259624429514,0.25,-0.3601124024809992,0.29557627404677683
RACGAP1,30,0.01075825603016181,0.4245939675174014,0.832248415852735,2,2,14.5,39,-24.5,29127,2.48082,PhosphoScore,TRUE,FALSE,FALSE,TRUE,0.4264705882352941,0.03810462599096151,0.25,0.4226600380949785,0.29509410928777624
PTPRC,25,0.07713300541103713,0.4474327628361858,0.08456444693216338,4,2,27.5,4,23.5,5788,1.37924,proteoscore,FALSE,TRUE,FALSE,TRUE,0.35294117647058826,0.2731970976063649,0.25,0.23498263918467208,0.28251830029938385
TYMS,39,0.042677503504710085,0.4704370179948586,0.8869911733850732,2,2,6,10,-4,7298,-0.423503,proteoscore,TRUE,FALSE,FALSE,FALSE,0.5588235294117647,0.15115928685055358,0.25,-0.07215267295222454,0.2584483816031952
